,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
164,1009998,Altadena Farmers' Market,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,https://twitter.com/AltadenaFM,,http://altadenafm.tumblr.com,600 W. Palm Street,Altadena,Los Angeles,California,91001,01/08/2014 to 03/05/2014,Wed: 3:00 PM-7:00 PM;,03/12/2014 to 11/05/2014,Wed: 4:00 PM-8:00 PM;,11/12/2014 to 12/31/2014,Wed: 3:00 PM-7:00 PM;,,,-118.1581301,34.200378799999996,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,4/22/2014 1:29:47 PM
222,1011248,Antelope Valley Winery Farmer's Market ,http://www.avwinery.com,,,,,42041 20th St. West,Lancaster,Los Angeles,California,93534,05/30/2015 to 11/28/2015,Sat: 9:00 AM-12:00 PM;,,,,,,,-118.1662288,34.6470421,,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,6/17/2015 3:17:08 PM
339,1010003,Atwater Village Farmers' Market,http://www.seela.org/atwater-village-farmers-market/,https://www.facebook.com/pages/Atwater-Village-Farmers-Market/336210064056,https://twitter.com/AtwaterFM,,www.instagram.com/atwatervillagefm,3250 Glendale Blvd,Los Angeles ,Los Angeles,California,90039,01/01/2014 to 12/31/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-118.25983000000001,34.118435,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,8/7/2014 4:26:22 PM
399,1003720,Baldwin Park Farmers Market,http://www.farmernet.com,,,,,Baldwin Park - Cesar Chavez & Ramond,Baldwin Park,Los Angeles,California,91706,,,,,,,,,-117.965,34.0856,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
520,1004973,Bellflower Farmers Market,http://www.farmernet.com,,,,,Oak & Clark Street,Bellflower,Los Angeles,California,90706,,,,,,,,,-118.134,33.8847,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
588,1001460,Beverly Hills Farmers Market,http://www.beverlyhills.org/farmersmarket,https://www.facebook.com/BHFarmersMarket,,,,9300 Civic Center Drive,Beverly Hills,Los Angeles,California,90210,01/01/2013 to 12/31/2013,Sun: 9:00 AM-1:00 PM;,,,,,,,-118.39890700000001,34.074257,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,3/17/2014 10:52:28 AM
897,1000843,Burbank Certified Farmers' Market,http://www.burbankfarmersmarket.org,https://www.facebook.com/burbankfarmersmarket,@BurbFarmMkt,,burbankfarmersmarket,"150 N. Third Street Burbank, CA 91502",Burbank,Los Angeles,California,91502,,,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:30 PM;,,,,,-118.30797709999999,34.1828004,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,12/19/2018 10:09:45 AM
948,1003449,Calabasas Old Town Farmers Market,,,,,,Calabasas & Mulholland Dr.,Calabasas,Los Angeles,California,91303,,,,,,,,,-118.63600000000001,34.1587,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/24/2013 2:28:09 PM
1018,1012038,Canoga Park Certified Farmers Market,http://coastalpacificinfo.us,https://www.facebook.com/canogafarmersmarket/,,,,7248 Owensmouth st,canoga park,Los Angeles,California,91303,01/01/2016 to 12/31/2016,Sat: 9:00 AM-1:30 PM;,,,,,,,-118.60161200000002,34.203746,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,7/27/2018 3:05:40 PM
1095,1000369,Carson Farmers Market,http://www.farmernet.com,,,,,Carson St. & Bonita St.,Carson,Los Angeles,California,90810,,,,,,,,,-118.259,33.8316,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1166,1005208,Central Ave Farmers Market,http://www.farmernet.com,,,,,4301 Central Ave  at 43rd st,Los angeles  California,Los Angeles,California,90011,January to December,Thu:10:00 am - 4:00 pm;,,,,,,,-118.256,34.0058,Local government building grounds,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,1/14/2012 6:37:35 PM
1182,1003440,Century City Farmers Market,http://www.ccfm.com,,,,,Constellation Blvd & Avenue of Stars,Tarzana,Los Angeles,California,91356,,,,,,,,,-118.416,34.0587,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1184,1010147,Cerritos Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,17870 Park plaza Drive,Cerritos ,Los Angeles,California,90703,,Sat: 8:00 AM-12:00 PM;,,,,,,,-118.06253799999999,33.869285,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,5/14/2014 2:05:19 PM
1234,1003729,Chatsworth Farmers Market,http://www.farmernet.com,,,,,Devonshire St.,Chatsworth,Los Angeles,California,91311,,,,,,,,,-118.59700000000001,34.2572,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1386,1002106,Claremont Farmers & Artisans Market,http://www.claremontforum.org,https://www.facebook.com/pages/Claremont-Farmers-Artisans-Market/148040805240200?fref=ts,,,,Indian Hill Blvd. and 2nd Avenue,Claremont,Los Angeles,California,91711,01/01/2015 to 12/31/2015,Sun: 8:00 AM-1:00 PM;,,,,,,,-117.718999,34.095636,,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/3/2015 10:03:19 AM
1567,1010233,Compton Blue Line Farmers Market ,,,,,,101 E Palmer Street,Compton ,Los Angeles,California,90220,05/29/2014 to 10/30/2014,Thu: 11:00 AM-7:00 PM;,,,,,,,-118.22397340000002,33.8979171,Local government building grounds,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,5/26/2014 1:21:44 PM
1706,1001714,Crenshaw Farmers' Market,http://www.seela.org,https://www.facebook.com/pages/Crenshaw-Farmers-Market/298496636834537,,,,3650 Crenshaw Blvd.,Los Angeles,Los Angeles,California,90008,,,,,,,,,-118.33522099999999,34.010835,Private business parking lot,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/13/2013 5:22:22 PM
1763,1005403,Culver City Farmers Market,http://www.farmernet.com,,,,,Main & Culver,Culver City,Los Angeles,California,90232,,,,,,,,,-118.396,34.0247,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1908,1006035,Diamond Bar Farmers Market,http://www.farmernet.com,,,,,Calvary Chapel Church,Diamond Bar,Los Angeles,California,91765,,,,,,,,,-119.781,36.8199,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1961,1006655,Downey CFM,,,,,,Second St.  and La Reina St.,DOWNEY,Los Angeles,California,,,,,,,,,,-118.134,33.9419,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
2117,1005577,Duarte,,,,,,E. Huntington Dr. & Buena Vista St.,DUARTE,Los Angeles,California,,,,,,,,,,-117.978,34.1397,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
2162,1018729,Eagle Rock Farmers Market,http://www.eaglerockchamberofcommerce.com/farmers-market,https://www.facebook.com/EagleRockFarmersMarket/,,,https://www.instagram.com/eaglerockfarmersmarket/,2035 Colorado Blvd,Eagle Rock,Los Angeles,California,90041,01/01/2017 to 12/31/2017,Fri: 5:00 PM-8:00 PM;,,,,,,,-118.211619,34.139454,,Y,N,N,N,Y,-,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,7/24/2017 7:41:31 PM
2191,1018974,East Hollywood Certified Farmers' Market,http://www.ehfarmersmkt.com,https://www.facebook.com/EHFarmersMkt,https://twitter.com/EHFarmersMkt,,https://www.instagram.com/ehfarmersmkt,5448 Hollywood Blvd.,Los Angeles,Los Angeles,California,90027,01/01/2018 to 12/31/2018,Mon: 3:30 PM-7:30 PM;Thu: 3:30 PM-7:30 PM;,,,,,,,-118.30813799999999,34.101397999999996,,Y,Y,Y,Y,Y,-,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/1/2018 1:15:01 PM
2199,1002993,East Los Angeles Farmers Market,http://www.velasfarmersmarkets.org,https://www.facebook.com/pages/East-Los-Angeles-Farmers-Market/484691574934322,https://twitter.com/Vela_ELA?refsrc=email,,,4801 East 3rd Street,Los Angeles,Los Angeles,California,90022,01/01/2013 to 12/31/2013,Sat: 9:00 AM-2:00 PM;,,,,,,,-118.1609,34.03349,,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,3/25/2015 6:57:23 PM
2200,1008271,East Los Angeles WEDNESDAY Farmers Market,http://www.velasfarmersmarkets.org,,,,,4848 East Civic Center Way,East Los Angeles ,Los Angeles,California,90022,05/01/2015 to 09/30/2015,Wed: 10:00 AM-3:00 PM;,,,,,,,-118.168567,34.031506,,Y,Y,Y,Y,Y,-,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/25/2015 6:55:20 PM
2219,1006657,East Village Long Beach CFM,,,,,,1St Street and Elm St.,LONG BEACH,Los Angeles,California,,,,,,,,,,-118.18799999999999,33.7681,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
2252,1010019,Echo Park Farmers' Market,http://seela.org,https://www.facebook.com/pages/Echo-Park-Farmers-Market/313522200882,,,,Logan St. and Sunset Blvd,Los Angeles ,Los Angeles,California,90026,01/01/2015 to 12/31/2015,Fri: 3:00 PM-7:30 PM;,,,,,,,-118.25863000000001,34.076886,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,3/24/2015 11:24:37 AM
2329,1000024,El Segundo Farmers Market,http://www.farmernet.com,,,,,Grand & Eucalyptus,Los Angeles,Los Angeles,California,90045,,,,,,,,,-118.405,33.9208,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
2397,1012045,Encino Farmers Market,http://www.encniofarmersmarket.org,Encino Farmers Market ,,,,17400 Victory Blvd,Van Nuys,Los Angeles,California,91406,01/01/2016 to 12/31/2016,Sun: 8:00 AM-1:00 PM;,,,,,,,-118.5128542,34.1862306,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,7/27/2018 1:28:44 PM
2967,1004328,Gardena Saturday Farmers Market,http://www.cafarmersmarkets.org,,,,,13000 Van Ness,Los Angeles,Los Angeles,California,90047,,,,,,,,,-118.318,33.931,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
2968,1004329,Gardena Wednesday Farmers Market,http://www.cafarmersmarkets.org,,,,,1670 West 162 at La Salle,Los Angeles,Los Angeles,California,90047,,,,,,,,,-118.306,33.8841,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
3036,1006658,Gigis Farmers Market,,,,,,889 American Way,GLENDALE,Los Angeles,California,,,,,,,,,,-118.211,34.1251,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
3063,1001352,Glendora Farmers Market,http://www.gfma.org,,,,,Glendora Ave. & Foothill Blvd.,Glendora,Los Angeles,California,91741,,,,,,,,,-117.865,34.1352,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
3206,1009018,Green Believers Pop Up Market,,,,,,3320 S. Central Avenue,Los Angeles,Los Angeles,California,,11/06/2013 to 09/30/2014,Wed: 1:00 PM-5:00 PM;,,,,,,,-118.25649920000001,34.013072799999996,Other,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,11/16/2013 10:13:48 PM
3551,1012043,Hermosa Beach Farmers' Market,http://www.farmermark.com/hermosabeach/,,https://www.facebook.com/farmermarkHB/,,,1 Pier Avenue,Hermosa Beach,Los Angeles,California,,01/01/2018 to 12/31/2018,Wed: 1:00 PM-6:00 PM;,,,,,,,-118.401347,33.861971999999994,,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,7/27/2018 4:00:16 PM
3628,1011278,Historic Downtown Certified Farmers Market,http://hdlabid.com/farmers-market/,https://www.facebook.com/HistoricFarmersMarket,,,Instagram: @dtlamarket,W 5th St. between Spring St. and Broadway,Los Angeles,Los Angeles,California,90014,01/01/2015 to 12/31/2015,Sun: 9:00 AM-2:00 PM;,,,,,,,-118.250147,34.047712,,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,6/24/2015 3:00:31 PM
3672,1000052,Hollywood Farmers' Market,http://www.seela.org,,,,,1500 Ivar Ave. & Selma Ave,Los Angeles,Los Angeles,California,90028,,Sun: 8:00 AM-1:00 PM;,,,,,,,-118.3283,34.09986,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/10/2013 3:28:14 PM
3674,1001880,Hollywood Media Farmers Market,http://www.farmernet.com,,,,,1100 Block of Cole Ave.,Hollister,Los Angeles,California,95023,,,,,,,,,-121.60700000000001,36.7105,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
3760,1003705,Huntington Park Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,,,,3401 East Florence Avenue,Huntington Park,Los Angeles,California,90255,01/01/2014 to 12/31/2014,Wed: 9:30 AM-1:30 PM;,,,,,,,-118.204828,33.972982,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,5/12/2014 6:34:54 PM
3813,1012437,Inglewood Certified Farmers' Market,http://www.sjli.org,https://www.facebook.com/inglewoodcertifiedfarmersmarket/,,,,Manchester Blvd and Market Street,Inglewood,Los Angeles,California,90301,01/01/2016 to 12/31/2016,Thu: 3:00 PM-7:00 PM;,,,,,,,-118.351925,33.961209999999994,,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,7/11/2016 2:11:28 PM
3973,1002541,Kaiser Medical Center Panorama City FM,http://www.sfma.net,,,,,13652 Cantara Street,Panorama City,Los Angeles,California,91402,January to December,Wed:9:00 AM - 1:30 PM;,,,,,,,-118.43006399999999,34.220674,Healthcare Institution,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/25/2012 11:02:47 PM
3974,1008975,Kaiser Medical Center Woodland Hills,,,,,,5601 De Soto Avenue,Woodland Hills,Los Angeles,California,91367,01/02/2014 to 12/18/2014,Thu: 10:00 AM-2:30 PM;,,,,,,,-118.58972,34.170913,Healthcare Institution,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,3/31/2014 4:06:14 PM
3985,1003673,Kaiser South Bay Farmers' Market,http://www.lacienegafarmersmarket.com,https://www.facebook.com/kaisersouthbayfarmersmarket?ref=hl,https://twitter.com/MNPFarmersMkt,,,25825 S. Vermont Avenue,Harbor City,Los Angeles,California,90710,01/01/2014 to 12/01/2014,Wed: 10:00 AM-3:00 PM;,,,,,,,-118.29373799999999,33.790081,Healthcare Institution,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,4/1/2014 8:16:34 PM
4044,1005578,Kenneth Village,,,,,,1435 W. Kenneth Rd.,GLENDALE,Los Angeles,California,,,,,,,,,,-118.281,34.173,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
4142,1004330,L.A. Adams/Vermont Farmers Market,http://www.farmernet.com,,,,,"1432 W. Adams, St. Agnes Catholic Church",Los Angeles,Los Angeles,California,90007,,,,,,,,,-118.292,34.0324,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4143,1005487,L.A. Arts District Little Tokyo Farmers Market,,,,,,"700 Block, Traction St. & 3rd St.",Los Angeles,Los Angeles,California,90039,,,,,,,,,-118.236,34.0459,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4144,1002082,L.A. Central Avenue Farmers Market,http://www.farmernet.com,,,,,43rd St. & Central Ave.,Hollywood,Los Angeles,California,90028,,,,,,,,,-121.448,38.5706,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4145,1005154,L.A. Chinatown Farmers Market,http://www.farmernet.com,,,,,727 North Hill & Alpine,Los Angeles,Los Angeles,California,90012,,,,,,,,,-118.24,34.0628,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4146,1004896,L.A. Harambee Farmers Market,http://www.farmernet.com,,,,,Crenshaw & Slausan,Los Angeles,Los Angeles,California,90010,,,,,,,,,-118.331,33.989000000000004,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4147,1003447,L.A. Larchmont Village Farmers Market,,,,,,"Larchmont Bldg., Lot #694",Los Angeles,Los Angeles,California,90042,,,,,,,,,-118.324,34.0834,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4148,1002081,L.A. Leimert Park Farmers Market,http://www.farmernet.com,,,,,43rd St. & Degnan,Hollywood,Los Angeles,California,90028,,,,,,,,,-118.34,34.0106,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4149,1003446,L.A. Melrose Place Farmers Market,,,,,,Melrose Place & Croft,Los Angeles,Los Angeles,California,90029,,,,,,,,,-118.374,34.0841,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4150,1005752,L.A. Seventh & Fig Farmers Market,http://www.farmernet.com,,,,,Figueroa St. & 7th,Los Angeles,Los Angeles,California,90017,,,,,,,,,-118.26,34.0494,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4151,1001269,L.A. Silverlake Farmers Market,http://www.farmernet.com,,,,,9700 Sunset Blvd.,Los Angeles,Los Angeles,California,90029,,,,,,,,,-118.28200000000001,34.0943,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4152,1003441,L.A. Wilshire Center Farmers Market,http://www.ccfm.com,,,,,Mariposa & Wilshire,Tarzana,Los Angeles,California,91356,,,,,,,,,-119.016,36.0678,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4154,1003444,La Canada Flintridge Farmers Market,http://www.farmernet.com,,,,,Beulah Dr. & Foothill Ave.,La Canada Flintridge,Los Angeles,California,91011,,,,,,,,,-118.198,34.2035,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4155,1009715,La Cienega CFM at Kaiser WLA,http://www.lacienegafarmersmarket.com,https://www.facebook.com/kaiserwestlafarmersmarket?ref=hl,https://twitter.com/MNPFarmersMkt,,,6041 Cadillac Avenue and La Cienega Blvd.,Mid-City Los Angeles,Los Angeles,California,90034,01/01/2014 to 12/17/2014,Wed: 9:00 AM-2:30 PM;,,,,,,,-118.375266,34.038659,Healthcare Institution,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,4/1/2014 8:23:30 PM
4156,1009714,La Cienega Farmers' Market,http://www.lacienegafarmersmarket.com,https://www.facebook.com/lacienegafarmersmarket?ref=hl,https://twitter.com/LaCienegaCFM,,,1801 So. La Cienega Blvd. and 18th Street,Mid-City Los Angeles,Los Angeles,California,90035,01/02/2014 to ,Thu: 2:00 PM-7:30 PM;,,,,,,,-118.377144,34.044349,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,4/1/2014 8:21:41 PM
4227,1012340,Lakewood Center Farmers' Market,http://Socalfarmersmarkets.net,www.facebook.com/lakewoodcenterfarmersmarket,,,www.instagram.com/socalfarmersmarkets,500 Lakewood Blvd,Lakewood ,Los Angeles,California,90712,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:30 PM;,,,,,,,-118.14222,33.852829,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,7/7/2016 9:23:46 PM
4265,1003442,Larchmont Village Farmers Market,http://www.ccfm.com,,,,,"Larchmont Blvd., Lot #694",Tarzana,Los Angeles,California,91356,,,,,,,,,-118.324,34.0748,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
4292,1001023,Lawndale Certified Farmers Market,http://www.lawndalechamber.org,,,,,14717 Burin Ave.,Lawndale,Los Angeles,California,90260,01/01/2014 to 11/26/2014,Wed: 2:00 PM-7:00 PM;,,,,,,,-118.354,33.8982,Local government building grounds,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,4/2/2014 10:56:39 PM
